"name","no_tds","pop2006","rr2006","no_tds1","pop2011","pop2011a","rr2011"
"Limerick City",4,100993,20198,4,102638,102638,25660
"Dún Laoghaire",4,102493,20498,4,105029,105029,26257
"Cavan-Monaghan",5,120000,24000,5,133666,133666,26733
"Dublin South-Central",5,122168,24433,5,127223,127223,25445
"Dublin North-West",3,73327,24442,3,79028,79028,26343
"Donegal South-West",3,73390,24463,3,78313,78313,26104
"Dublin South-West",4,97989,24497,4,105597,105597,26399
"Dublin North",4,98340,24585,4,114322,114322,28580
"Donegal North-East",3,73874,24624,3,82824,82824,27608
"Sligo-North Leitrim",3,74228,24742,3,80283,80283,26761
"Mayo",5,123839,24767,5,130638,130638,26128
"Cork North-West",3,74619,24873,3,81545,81545,27182
"Tipperary South",3,74748,24916,3,79748,79748,26583
"Cork East",4,100168,25042,4,114365,114365,28591
"Cork North-Central",4,100180,25045,4,104911,104911,26228
"Dublin South-East",4,100305,25076,4,103833,103833,25958
"Dublin North-Central",3,75276,25092,3,74501,74501,24834
"Dublin Mid-West",4,100399,25099,4,110427,110427,27607
"Galway East",4,100629,25157,4,110085,110085,27521
"Kerry South",3,75489,25163,3,77971,77971,25990
"Dublin North-East",3,76160,25386,3,81560,81560,27187
"Meath West",3,76393,25464,3,85550,85550,28517
"Meath East",3,76631,25543,3,86572,86572,28857
"Cork South-West",3,76949,25649,3,82952,82952,27651
"Kerry North-West Limerick",3,77492,25830,3,80883,80883,26961
"Cork South-Central",5,129379,25875,5,135259,135259,27052
"Wicklow",5,130356,26071,5,141012,141012,28202
"Dublin South",5,130377,26075,5,140543,140543,28109
"Dublin Central",4,104674,26168,4,113792,113792,28448
"Galway West",5,131041,26208,5,140568,140568,28114
"Wexford",5,131749,26349,5,145320,145320,29064
"Clare",4,105571,26392,4,111336,111336,27834
"Longford-Westmeath",4,106211,26552,4,116802,116802,29200
"Kildare South",3,79835,26611,3,90264,90264,30088
"Kildare North",4,106500,26625,4,120048,120048,30012
"Waterford",4,106530,26632,4,112198,112198,28050
"Laois-Offaly",5,133651,26730,5,152825,152825,30565
"Tipperary North",3,80203,26734,3,85024,85024,28341
"Carlow-Kilkenny",5,133745,26749,5,145659,145659,29132
"Louth",5,128600,32150,5,143272,143272,28654
"Dublin West",4,105668,35222,4,117214,117214,29304
"Limerick",3,"","","",81679,"",""
"Roscommon-South Leitrim",3,"","","",80973,"",""
