name,no_tds,pop2011,rr2011,pop2016,rr2016,,
Laois,3,87745,29249,92589,30863,,158
Tipperary,5,147801,29561,148706,29741,,
Dublin Bay South,4,116396,29099,121176,30294,,
Dublin South-West,5,144908,28982,150495,30099,,
Clare,4,111336,27834,112823,28205,,
Carlow-Kilkenny,5,145659,29132,151663,30332,,
Limerick City,4,113835,28459,117048,29262,,
Dublin Fingal,5,141162,28233,152086,30417,,
Dublin West,4,113179,28295,121897,30474,,
Longford-Westmeath,4,116802,29201,120962,30240,,
Dublin North-West,3,90534,30178,96992,32330,,
Louth,5,143272,28655,150924,30184,,
Mayo,4,120332,30083,120082,30020,,
Dublin Bay North,5,146512,29303,152943,30588,,
Dublin Central,3,89030,29677,96307,32102,,
Meath East,3,86572,28858,91142,30380,,
Meath West,3,85550,28517,90543,30181,,
Dublin Mid-West,4,110427,27607,117976,29494,,
Offaly,3,87640,29214,88808,29602,,
Roscommon-Galway,3,84586,28196,85022,28340,,
Sligo-Leitrim,4,119153,29789,119264,29816,,
Cavan-Monaghan,4,120483,30121,124412,31103,,
Waterford,4,113795,28449,116176,29044,,
Wexford,5,145320,29064,149722,29944,,
Dublin South-Central,4,114660,28665,119469,29867,,
Wicklow,5,141012,28203,146926,29385,,
Dublin Rathdown,3,87470,29157,94472,31490,,
Dún Laoghaire,4,118791,29698,123546,30886,,
Cork East,4,114365,28592,121429,30357,,
Cork North-Central,4,117165,29292,124836,31209,,
Cork South-Central,4,117957,29490,122221,30555,,
Cork North-West,3,86593,28865,89080,29693,,
Cork South-West,3,82952,27651,85302,28434,,
Donegal,5,152358,30472,150657,30131,,
Galway West,5,150874,30175,154354,30870,,
Galway East,3,89564,29855,93651,31217,,
Kerry,5,145502,29101,147707,29541,,
Kildare North,4,115350,28838,122774,30693,,
Kildare South,3,87776,29259,91838,30612,,
Limerick County,3,83834,27945,83845,27948,,
